"Page","Avg.","Min","Max","SD","TP"
"Home",559.604,374,9200,451.228230610741,7.2417580043453
"Gaming",229.755,157,1749,199.250013335182,5.44105411355027
"Τεχνολογία",206.496,154,6522,256.060084259048,7.2424345830114
"Κινητή Τηλεφωνία",192.435,157,1338,106.742637982459,5.79390640378748
"Game Cards",1093.67,800,6251,715.454229755036,5.4415697840513
"Κινητά Τηλέφωνα",1647.75125,1404,9266,467.98978613143,5.79382527899079
"Riot League of Legends Pre-Paid Card 10 Euro (1380RP)",1483.87,1000,7916,1024.91639717883,5.44420394169439
"Xiaomi Redmi Note 9 (128GB) Midnight Gray",1302.74125,1084,10049,631.526524769781,5.79237241093021
"Huawei P40 Lite (128GB) Midnight Black",1186.95375,980,8872,523.268763982848,5.79128638224855
"Blizzard World Of Warcraft 60 Day Prepaid Card PC",1556.89,1024,9885,1011.8809034237,5.43710470549696
"Samsung Galaxy A51 (128GB) Prism Crush Black",1345.31875,1057,9017,508.541168243226,5.79037258876219
"EA - Electronic Arts FIFA 15 Ultimate Team 2200 Points PC",1463.59,983,9880,1068.13888859391,5.3971953474377
"OnePlus Nord N100 (64GB) Midnight Frost",1803.7425,1504,12128,679.768462527542,5.78905340655039
"TOTAL",1014.7191025641,154,12128,799.1618417974,54.9245491609923
