"Page","Avg.","Min","Max","SD","TP"
"Home",519.25,386,1322,235.121665034129,3.14082682266107
"Gaming",168.9375,161,198,9.3343005451221,2.51604634767043
"Τεχνολογία",174.65,160,221,14.3059612160732,3.12487793445568
"Κινητή Τηλεφωνία",178.75,170,189,7.84750491132904,0.743423029386893
"Game Cards",857.5,823,936,37.8223919567937,2.51750452364094
"Κινητά Τηλέφωνα",1694.75,1548,2030,225.615269873296,0.743457573354481
"Riot League of Legends Pre-Paid Card 10 Euro (1380RP)",1098.875,1010,1980,235.709390281055,2.52555812203707
"Xiaomi Redmi Note 9 (128GB) Midnight Gray",1184.25,1127,1278,65.1939414363022,0.746914310255756
"Blizzard World Of Warcraft 60 Day Prepaid Card PC",1210.5625,1097,1668,151.398797331199,2.53018430811319
"Huawei P40 Lite (128GB) Midnight Black",1057,1016,1120,48.4561657583429,0.749332625630298
"Samsung Galaxy A51 (128GB) Prism Crush Black",1377.75,1225,1656,202.551022378725,0.751324208918218
"EA - Electronic Arts FIFA 15 Ultimate Team 2200 Points PC",1262.625,1032,2193,314.414773825913,2.51920896838393
"OnePlus Nord N100 (64GB) Midnight Frost",2099.75,1720,2501,397.829423245692,0.74992500749925
"TOTAL",818.215277777778,160,2501,538.881957872225,15.5556275723499
