"Page","Avg.","Min","Max","SD","TP"
"Home",461.797,374,2065,158.504825070313,7.29989083013264
"Gaming",184.1275,156,1417,78.9204935306661,5.840383060991
"Τεχνολογία",180.469,153,1240,71.4770033017683,7.29818599937892
"Κινητή Τηλεφωνία",195.46,159,1199,97.503812063089,5.24865044075542
"Game Cards",908.81375,792,2019,144.743367253537,5.84039087789349
"Κινητά Τηλέφωνα",1653.095,1454,2673,202.856772937541,5.24836579010211
"Riot League of Legends Pre-Paid Card 10 Euro (1380RP)",1134.74125,974,3105,209.056170445742,5.83977269658074
"Xiaomi Redmi Note 9 (128GB) Midnight Gray",1290.18,1107,3538,250.012135584852,5.23724044563679
"Blizzard World Of Warcraft 60 Day Prepaid Card PC",1232.31125,1041,5451,278.622163082261,5.83790828719055
"Huawei P40 Lite (128GB) Midnight Black",1211.22,1014,3963,316.758474640035,5.20527433097043
"EA - Electronic Arts FIFA 15 Ultimate Team 2200 Points PC",1167.29875,944,3100,219.32194861634,5.83896073311072
"Samsung Galaxy A51 (128GB) Prism Crush Black",1362.14,1065,4514,307.314875270974,5.20353181049084
"OnePlus Nord N100 (64GB) Midnight Frost",1794.355,1557,2998,256.408101564164,5.21702838063439
"TOTAL",811.859722222222,153,5451,524.482683540646,51.4192669897828
