"Page","Avg.","Min","Max","SD","TP"
"Home",588.45,388,1543,332.446825981635,2.72522880566848
"Gaming",176.5,162,215,25.7228821609606,0.994554812402098
"Τεχνολογία",180.65,159,333,39.4078204902209,2.73258885468092
"Κινητή Τηλεφωνία",181.875,161,239,22.5739525412218,2.18566793784507
"Game Cards",892.25,834,982,63.7932859581111,0.994505357897616
"Κινητά Τηλέφωνα",1643.375,1485,1929,122.81795471347,2.18648433816713
"Riot League of Legends Pre-Paid Card 10 Euro (1380RP)",1081,1036,1165,58.1778881248423,0.989213451654253
"Xiaomi Redmi Note 9 (128GB) Midnight Gray",1178.3125,1114,1294,49.5321023848844,2.19336324837097
"Blizzard World Of Warcraft 60 Day Prepaid Card PC",1184,1126,1216,39.6988664825584,0.974599500517756
"Huawei P40 Lite (128GB) Midnight Black",1133.125,1016,1737,169.390623510669,2.21457374069187
"EA - Electronic Arts FIFA 15 Ultimate Team 2200 Points PC",1163.25,1061,1421,172.685407605854,0.96591915256693
"Samsung Galaxy A51 (128GB) Prism Crush Black",1253.3125,1162,1382,62.2325946215754,2.30783654747653
"OnePlus Nord N100 (64GB) Midnight Frost",1818.5625,1615,2674,312.479539330178,2.31600990094233
"TOTAL",953.25,159,2674,589.390878844011,14.0177888136248
