"Page","Avg.","Min","Max","SD","TP"
"Home",484.972,378,1704,97.2278585204491,11.3611661706886
"Gaming",190.306,156,1198,83.3849054019839,5.75101443102051
"Τεχνολογία",182.031,154,1389,56.3533116572108,11.3635373631215
"Κινητή Τηλεφωνία",183.732,157,1166,56.5476387384459,5.68170519336263
"Game Cards",914.018,791,2112,118.837478805036,5.75124595951008
"Κινητά Τηλέφωνα",1605.428,1436,3142,154.346864968003,5.68181495351423
"Riot League of Legends Pre-Paid Card 10 Euro (1380RP)",1145.022,999,3416,193.045109610913,5.75051064534531
"Xiaomi Redmi Note 9 (128GB) Midnight Gray",1252.36,1078,3942,195.965413495783,5.68273193928342
"Blizzard World Of Warcraft 60 Day Prepaid Card PC",1262.99,1074,4834,241.598355604631,5.74505623548296
"Huawei P40 Lite (128GB) Midnight Black",1143.506,1005,1958,133.876389776088,5.67761588581785
"Samsung Galaxy A51 (128GB) Prism Crush Black",1311.568,1069,5123,230.570907233599,5.67863577968332
"EA - Electronic Arts FIFA 15 Ultimate Team 2200 Points PC",1182.034,943,2665,185.839310541891,5.73269038025891
"OnePlus Nord N100 (64GB) Midnight Frost",1744.296,1547,4175,208.129835537536,5.67741495942068
"TOTAL",884.617733333333,154,5123,552.552263476236,81.620659821414
