"Page","Avg.","Min","Max","SD","TP"
"Home",566.13,383,3887,433.902848005792,9.39920294759004
"Gaming",208,156,1056,137.954245086455,4.99593247830725
"Τεχνολογία",205.3,156,1203,144.615518673502,9.40555335221759
"Κινητή Τηλεφωνία",194.11,160,493,55.1559579462609,4.70278036212976
"Game Cards",1063.66,812,3536,443.132951297071,4.99591583880178
"Κινητά Τηλέφωνα",1767.32,1451,4099,394.068826475782,4.70283196703001
"Riot League of Legends Pre-Paid Card 10 Euro (1380RP)",1285.67,1003,3210,378.992072489783,4.99778015264886
"Xiaomi Redmi Note 9 (128GB) Midnight Gray",1422.59,1107,3254,450.890703121739,4.72337923145897
"Blizzard World Of Warcraft 60 Day Prepaid Card PC",1433.47,1043,3706,478.454022468368,5.01040494092733
"Huawei P40 Lite (128GB) Midnight Black",1270.08,1012,2928,330.776090154929,4.72182545772196
"EA - Electronic Arts FIFA 15 Ultimate Team 2200 Points PC",1344.25,973,3465,426.364153528579,4.9970725483321
"Samsung Galaxy A51 (128GB) Prism Crush Black",1428.91,1108,2674,354.234730572024,4.72607287761913
"OnePlus Nord N100 (64GB) Midnight Frost",1987.03,1527,4995,587.958863657599,4.71592820470901
"TOTAL",996.53,156,4995,703.456106256071,59.5533498759305
