"Page","Avg.","Min","Max","SD","TP"
"Home",487.39,392,996,85.7817167541716,5.4156658967395
"Gaming",178.65,162,310,31.7826086173919,2.93951218795241
"Τεχνολογία",176.21,157,418,29.174603249187,5.41842426803861
"Κινητή Τηλεφωνία",173.3,159,218,12.2839815423032,4.33485685489879
"Game Cards",908.2,837,1450,142.243157267665,2.94081607646122
"Κινητά Τηλέφωνα",1615.5125,1475,1884,86.3240866910156,4.3353149335342
"Riot League of Legends Pre-Paid Card 10 Euro (1380RP)",1097.6,1017,1451,95.7454959776177,2.9959330209241
"Xiaomi Redmi Note 9 (128GB) Midnight Gray",1196.5125,1096,1521,60.7409927166369,4.33277127661495
"Huawei P40 Lite (128GB) Midnight Black",1095.9875,1019,1495,68.7240848740247,4.35039928508438
"Blizzard World Of Warcraft 60 Day Prepaid Card PC",1163.95,1101,1392,64.2662840310368,2.98721472099415
"Samsung Galaxy A51 (128GB) Prism Crush Black",1255.425,1078,1560,73.3379165234465,4.35617937657628
"EA - Electronic Arts FIFA 15 Ultimate Team 2200 Points PC",1143.65,1008,1389,91.1818743530002,2.95104220974041
"OnePlus Nord N100 (64GB) Midnight Frost",1740.325,1548,2912,234.452163753307,4.36120994501241
"TOTAL",926.110256410256,157,2912,566.748660616493,34.9717237174046
