"Page","Avg.","Min","Max","SD","TP"
"Home",614.547738693467,398,3920,458.499459130148,6.3566597190612
"Gaming",241.625,160,1545,244.712147749985,3.93676247215561
"Τεχνολογία",220.979899497487,153,1495,189.089550689053,6.35958160983701
"Κινητή Τηλεφωνία",218.383647798742,158,1488,169.630790387149,5.08140095396112
"Game Cards",1048.1,809,4043,617.828737368171,3.92753051609387
"Κινητά Τηλέφωνα",1813.03144654088,1440,5289,600.86941673452,5.08190983924864
"Riot League of Legends Pre-Paid Card 10 Euro (1380RP)",1284.425,1007,2828,451.484382982317,3.918149849641
"Xiaomi Redmi Note 9 (128GB) Midnight Gray",1743.85534591195,1089,44061,3457.64265352119,5.09033748297218
"Blizzard World Of Warcraft 60 Day Prepaid Card PC",1595.15,1074,4960,986.848117844032,3.93054723043816
"Huawei P40 Lite (128GB) Midnight Black",1332.82911392405,993,5009,675.662007926965,5.04783731054636
"EA - Electronic Arts FIFA 15 Ultimate Team 2200 Points PC",1492.7,982,3388,680.383986606658,3.89894582252324
"Samsung Galaxy A51 (128GB) Prism Crush Black",1528.93670886076,1060,7131,830.889353035544,5.05037052032668
"OnePlus Nord N100 (64GB) Midnight Frost",1995.53164556962,1544,6445,710.335111288861,5.04501934722346
"TOTAL",1136.52098127824,153,44061,1396.72686512701,43.9531336825055
