"Page","Avg.","Min","Max","SD","TP"
"Home",481.8,382,928,115.280334643666,7.71941471397639
"Gaming",175.04,159,270,17.9783997380984,4.2165626581211
"Τεχνολογία",174.2,154,307,20.0610180311081,7.72623378295722
"Κινητή Τηλεφωνία",198.66,161,487,69.2091211400607,3.86371393062058
"Game Cards",910.58,820,1519,128.744818005484,4.21745181561301
"Κινητά Τηλέφωνα",1634.24,1501,2121,124.361152803159,3.86440075381577
"Riot League of Legends Pre-Paid Card 10 Euro (1380RP)",1136.48,1003,1713,151.688084904652,4.24216542748301
"Xiaomi Redmi Note 9 (128GB) Midnight Gray",1222.66,1119,1726,124.823893905758,3.83733290014109
"Blizzard World Of Warcraft 60 Day Prepaid Card PC",1189.6,1013,1633,105.463989405031,4.2145071766033
"Huawei P40 Lite (128GB) Midnight Black",1108.54,1003,1688,106.490242918,3.86351489706952
"EA - Electronic Arts FIFA 15 Ultimate Team 2200 Points PC",1131.68,965,1786,133.869635032271,4.20361174320977
"Samsung Galaxy A51 (128GB) Prism Crush Black",1266.2,1079,1791,122.018399415491,3.86368905030523
"OnePlus Nord N100 (64GB) Midnight Frost",1751.74,1548,2399,216.764313841329,3.88897747115351
"TOTAL",869.161333333333,154,2399,538.747964386313,44.6206353581847
