"Page","Avg.","Min","Max","SD","TP"
"Home",513.9,387,1211,204.465387625491,3.11025060844278
"Gaming",183.3,162,237,28.6939792368442,1.93410504124479
"Τεχνολογία",177.45,161,315,34.5093046186555,3.11515157808387
"Κινητή Τηλεφωνία",175.3,160,237,23.0846269192292,1.55915836631386
"Game Cards",873.2,836,946,34.5407971342102,1.93300214563238
"Κινητά Τηλέφωνα",1629.7,1512,2088,168.991814397424,1.55967309251981
"Riot League of Legends Pre-Paid Card 10 Euro (1380RP)",1048.3,1005,1132,37.736071749867,1.93124758594052
"Xiaomi Redmi Note 9 (128GB) Midnight Gray",1225.7,1149,1332,62.3414433226851,1.57135112626592
"Huawei P40 Lite (128GB) Midnight Black",1115.2,1031,1209,63.2311456307552,1.56371350683603
"Blizzard World Of Warcraft 60 Day Prepaid Card PC",1199.7,1105,1435,117.744591760679,1.95362103659132
"Samsung Galaxy A51 (128GB) Prism Crush Black",1294.3,1167,1513,110.432533451173,1.55867637202488
"EA - Electronic Arts FIFA 15 Ultimate Team 2200 Points PC",1074.4,1044,1139,33.3673160109976,2.08206818773315
"OnePlus Nord N100 (64GB) Midnight Frost",2071.7,1627,2841,473.798140327479,1.56854543553278
"TOTAL",884.9,160,2841,583.811024288285,14.6746388000711
