"Page","Avg.","Min","Max","SD","TP"
"Home",517.23,374,3332,292.936488048435,6.63522675058017
"Gaming",220.85625,156,1577,185.347161836763,5.31098294676569
"Τεχνολογία",191.185,156,930,89.9262722858908,6.62683570251914
"Κινητή Τηλεφωνία",296.575,162,2218,362.577163316961,3.52602056257658
"Game Cards",968.85,792,2293,247.87317207387,5.31067445565587
"Κινητά Τηλέφωνα",1763.975,1466,3776,482.790631879668,3.52571494888448
"Riot League of Legends Pre-Paid Card 10 Euro (1380RP)",1208.43125,988,2633,326.144151905759,5.33031282273378
"Xiaomi Redmi Note 9 (128GB) Midnight Gray",1359.625,1089,3246,413.9253424261,3.53337121892474
"Huawei P40 Lite (128GB) Midnight Black",1272.825,1034,2959,363.195496378663,3.53231553585963
"Blizzard World Of Warcraft 60 Day Prepaid Card PC",1336.425,1078,5121,452.862559154846,5.34052226969971
"EA - Electronic Arts FIFA 15 Ultimate Team 2200 Points PC",1261.93125,954,2511,342.011661169303,5.34030836943141
"Samsung Galaxy A51 (128GB) Prism Crush Black",1355.225,1139,3177,356.149888317711,3.57904469332061
"OnePlus Nord N100 (64GB) Midnight Frost",1691.15,1548,2130,136.175706632729,3.55650395661065
"TOTAL",868.539583333333,156,5121,586.554181659345,43.4645469651031
